Unidade Federativa,População (2010),População (2021)
São Paulo,41262199,46649132
Minas Gerais,19597330,21411923
Rio de Janeiro,15989929,17463349
Bahia,14016906,14985284
Paraná,10444526,11597484
Rio Grande do Sul,10693929,11466630
Pernambuco,8796448,9674793
Ceará,8452381,9240580
Pará,7581051,8777124
Santa Catarina,6248436,7338473
Goiás,6003788,7206589
Maranhão,6574789,7153262
Amazonas,3483985,4269995
Espírito Santo,3514952,4108508
Paraíba,3766528,4059905
Mato Grosso,3035122,3567234
Rio Grande do Norte,3168027,3560903
Alagoas,3120494,3365351
Piauí,3118360,3289290
Distrito Federal,2570160,3094325
Mato Grosso do Sul,2449024,2839188
Sergipe,2068017,2338474
Rondônia,1562409,1815278
Tocantins,1383445,1607363
Acre,733559,906876
Amapá,669526,877613
Roraima,450479,652713
